Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
SHS,200  x  200 x 6,35.8,200,200,6,6,,,30.3,,2830,2830,,,283,283,330,330,,,,,45.6
SHS,200  x  200 x 6.3,37.2,200,200,6.3,6.3,,,28.7,,2920,2920,,,292,292,341,341,,,,,47.4
SHS,200  x  200 x 8,46.5,200,200,8,8,,,22,,3570,3570,,,357,357,421,421,,,,,59.2
SHS,200  x  200 x 10,57,200,200,10,10,,,17,,4250,4250,,,425,425,508,508,,,,,72.6
SHS,200  x  200 x 12,66,200,200,12,12,,,13.7,,4730,4730,,,473,473,576,576,,,,,84.1
SHS,200  x  200 x 12.5,68.3,200,200,12.5,12.5,,,13,,4860,4860,,,486,486,594,594,,,,,87
SHS,250  x  250 x 6,45.2,250,250,6,6,,,38.7,,5670,5670,,,454,454,524,524,,,,,57.6
SHS,250  x  250 x 6.3,47.1,250,250,6.3,6.3,,,36.7,,5870,5870,,,470,470,544,544,,,,,60
SHS,250  x  250 x 8,59.1,250,250,8,8,,,28.3,,7230,7230,,,578,578,676,676,,,,,75.2
SHS,250  x  250 x 10,72.7,250,250,10,10,,,22,,8710,8710,,,697,697,822,822,,,,,92.6
SHS,250  x  250 x 12,84.8,250,250,12,12,,,17.8,,9860,9860,,,789,789,944,944,,,,,108
SHS,250  x  250 x 12.5,88,250,250,12.5,12.5,,,17,,10200,10200,,,813,813,975,975,,,,,112
SHS,300  x  300 x 6,54.7,300,300,6,6,,,47,,9960,9960,,,664,664,764,764,,,,,69.6
SHS,300  x  300 x 6.3,57,300,300,6.3,6.3,,,44.6,,10300,10300,,,689,689,795,795,,,,,72.6
SHS,300  x  300 x 8,71.6,300,300,8,8,,,34.5,,12800,12800,,,853,853,991,991,,,,,91.2
SHS,300  x  300 x 10,88.4,300,300,10,10,,,27,,15500,15500,,,1040,1040,1210,1210,,,,,113
SHS,300  x  300 x 12,104,300,300,12,12,,,22,,17800,17800,,,1180,1180,1400,1400,,,,,132
SHS,300  x  300 x 12.5,108,300,300,12.5,12.5,,,21,,18300,18300,,,1220,1220,1450,1450,,,,,137
SHS,350  x  350 x 6,64.1,350,350,6,6,,,55.3,,16000,16000,,,915,915,1050,1050,,,,,81.6
SHS,350  x  350 x 6.3,66.9,350,350,6.3,6.3,,,52.6,,16600,16600,,,951,951,1090,1090,,,,,85.2
SHS,350  x  350 x 8,84.2,350,350,8,8,,,40.8,,20700,20700,,,1180,1180,1370,1370,,,,,107
SHS,350  x  350 x 10,104,350,350,10,10,,,32,,25200,25200,,,1440,1440,1680,1680,,,,,133
SHS,350  x  350 x 12,123,350,350,12,12,,,26.2,,29100,29100,,,1660,1660,1950,1950,,,,,156
SHS,350  x  350 x 12.5,127,350,350,12.5,12.5,,,25,,30000,30000,,,1720,1720,2020,2020,,,,,162
SHS,400  x  400 x 6,73.5,400,400,6,6,,,63.7,,24100,24100,,,1200,1200,1380,1380,,,,,93.6
SHS,400  x  400 x 6.3,76.8,400,400,6.3,6.3,,,60.5,,25100,25100,,,1260,1260,1440,1440,,,,,97.8
SHS,400  x  400 x 8,96.7,400,400,8,8,,,47,,31300,31300,,,1560,1560,1800,1800,,,,,123
SHS,400  x  400 x 10,120,400,400,10,10,,,37,,38200,38200,,,1910,1910,2210,2210,,,,,153
SHS,400  x  400 x 12,141,400,400,12,12,,,30.3,,44300,44300,,,2220,2220,2590,2590,,,,,180
SHS,400  x  400 x 12.5,147,400,400,12.5,12.5,,,29,,45900,45900,,,2290,2290,2680,2680,,,,,187
RHS,50  x  30  x 3.2,3.61,50,30,3.2,3.2,,,,,14.2,6.2,,,,,7.25,5,,,,,
RHS,50  x  30 x 3.6,4.01,50,30,3.6,3.6,,,,,15.4,6.67,,,,,7.94,5.46,,,,,
RHS,50  x  30 x 4,4.39,50,30,4,4,,,,,16.5,7.08,,,,,8.59,5.88,,,,,
RHS,50  x  30 x 5,5.28,50,30,5,5,,,,,18.7,7.89,,,,,10,6.8,,,,,
RHS,50  x  30 x 6.3,6.33,50,30,6.3,6.3,,,,,20.6,8.5,,,,,11.5,7.68,,,,,
RHS,60  x  40 x 3.2,4.62,60,40,3.2,3.2,,,,,27.8,14.6,,,,,11.5,8.64,,,,,
RHS,60  x  40 x 3.6,5.14,60,40,3.6,3.6,,,,,30.4,15.9,,,,,12.7,9.5,,,,,
RHS,60  x  40 x 4,5.64,60,40,4,4,,,,,32.8,17,,,,,13.8,10.3,,,,,
