Type,Beam_Name,Mass Per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for Local Buckling Flange,Ratios for Local Buckling Web,Second Moment of Area y-y,Second Moment of Area z-z,Radius of Gyration y-y,Radius of Gyration z-z,Elastic Modulus y-y,Elastic Modulus z-z,Plastic Modulus y-y,Plastic Modulus z-z,Buckling Parameter,Torsional Index,Warping Constant,Torsional Constant,Area of section
UC,356 x 368 x 202,201.9,374.6,374.7,16.5,27,15.2,290.2,17.6,6.07,66300,23700,16.1,9.6,3540,1260,3970,1920,0.844,13.3,7.16,558,257
UC,356 x 368 x 177,177,368.2,372.6,14.4,23.8,15.2,290.2,20.2,6.89,57100,20500,15.9,9.54,3100,1100,3460,1670,0.843,15,6.09,381,226
UC,356 x 368 x 153,152.9,362,370.5,12.3,20.7,15.2,290.2,23.6,7.92,48600,17600,15.8,9.49,2680,948,2960,1430,0.843,17,5.11,251,195
UC,356 x 368 x 129,129,355.6,368.6,10.4,17.5,15.2,290.2,27.9,9.37,40200,14600,15.6,9.43,2260,793,2480,1200,0.845,19.8,4.18,153,164
UC,305 x 305 x 283,282.9,365.3,322.2,26.8,44.1,15.2,246.7,9.21,3,78900,24600,14.8,8.27,4320,1530,5110,2340,0.856,7.65,6.35,2030,360
UC,305 x 305 x 240,240,352.5,318.4,23,37.7,15.2,246.7,10.7,3.51,64200,20300,14.5,8.15,3640,1280,4250,1950,0.854,8.74,5.03,1270,306
UC,305 x 305 x 198,198.1,339.9,314.5,19.1,31.4,15.2,246.7,12.9,4.22,50900,16300,14.2,8.04,3000,1040,3440,1580,0.854,10.2,3.88,734,252
UC,305 x 305 x 158,158.1,327.1,311.2,15.8,25,15.2,246.7,15.6,5.3,38700,12600,13.9,7.9,2370,808,2680,1230,0.852,12.4,2.87,378,201
UC,305 x 305 x 137,136.9,320.5,309.2,13.8,21.7,15.2,246.7,17.9,6.11,32800,10700,13.7,7.83,2050,692,2300,1050,0.852,14.1,2.39,249,174
UC,305 x 305 x 118,117.9,314.5,307.4,12,18.7,15.2,246.7,20.6,7.09,27700,9060,13.6,7.77,1760,589,1960,895,0.852,16.1,1.98,161,150
UC,305 x 305 x 97,96.9,307.9,305.3,9.9,15.4,15.2,246.7,24.9,8.6,22200,7310,13.4,7.69,1450,479,1590,726,0.851,19.2,1.56,91.2,123
UC,254 x 254 x 167,167.1,289.1,265.2,19.2,31.7,12.7,200.3,10.4,3.48,30000,9870,11.9,6.81,2080,744,2420,1140,0.851,8.48,1.63,626,213
UC,254 x 254 x 132,132,276.3,261.3,15.3,25.3,12.7,200.3,13.1,4.36,22500,7530,11.6,6.69,1630,576,1870,878,0.85,10.3,1.19,319,168
UC,254 x 254 x  107,107.1,266.7,258.8,12.8,20.5,12.7,200.3,15.6,5.38,17500,5930,11.3,6.59,1310,458,1480,697,0.848,12.4,0.898,172,136
UC,254 x 254 x 89,88.9,260.3,256.3,10.3,17.3,12.7,200.3,19.4,6.38,14300,4860,11.2,6.55,1100,379,1220,575,0.85,14.5,0.717,102,113
UC,254 x 254 x 73,73.1,254.1,254.6,8.6,14.2,12.7,200.3,23.3,7.77,11400,3910,11.1,6.48,898,307,992,465,0.849,17.2,0.562,57.6,93.1
UC,203 x 203  x 127,127.5,241.4,213.9,18.1,30.1,10.2,160.8,8.88,2.91,15400,4920,9.75,5.5,1280,460,1520,704,0.856,7.36,0.549,427,162
UC,203 x 203  x 113,113.5,235,212.1,16.3,26.9,10.2,160.8,9.87,3.26,13300,4290,9.59,5.45,1130,404,1330,618,0.852,8.11,0.464,305,145
UC,203 x 203  x 100,99.6,228.6,210.3,14.5,23.7,10.2,160.8,11.1,3.7,11300,3680,9.44,5.39,988,350,1150,534,0.852,9.01,0.386,210,127
UC,203 x 203  x 86,86.1,222.2,209.1,12.7,20.5,10.2,160.8,12.7,4.29,9450,3130,9.28,5.34,850,299,977,456,0.849,10.2,0.318,137,110
UC,203 x 203  x 71,71,215.8,206.4,10,17.3,10.2,160.8,16.1,5.09,7620,2540,9.18,5.3,706,246,799,374,0.853,11.9,0.25,80.2,90.4
UC,203 x 203  x 60,60,209.6,205.8,9.4,14.2,10.2,160.8,17.1,6.2,6120,2060,8.96,5.2,584,201,656,305,0.846,14.1,0.197,47.2,76.4
UC,203 x 203  x52,52,206.2,204.3,7.9,12.5,10.2,160.8,20.4,7.04,5260,1780,8.91,5.18,510,174,567,264,0.847,15.8,0.167,31.8,66.3
UC,203 x 203  x 46,46.1,203.2,203.6,7.2,11,10.2,160.8,22.3,8,4570,1550,8.82,5.13,450,152,497,231,0.847,17.7,0.143,22.2,58.7
UC,152 x 152 x 51,51.2,170.2,157.4,11,15.7,7.6,123.6,11.2,4.18,3230,1020,7.04,3.96,379,130,438,199,0.848,10.1,0.061,48.8,65.2
UC,152 x 152 x 44,44,166,155.9,9.5,13.6,7.6,123.6,13,4.82,2700,860,6.94,3.92,326,110,372,169,0.847,11.5,0.05,31.7,56.1
UC,152 x 152 x 37,37,161.8,154.4,8,11.5,7.6,123.6,15.5,5.7,2210,706,6.85,3.87,273,91.5,309,140,0.848,13.3,0.04,19.2,47.1
UC,152 x 152 x 30,30,157.6,152.9,6.5,9.4,7.6,123.6,19,6.98,1750,560,6.76,3.83,222,73.3,248,112,0.847,16.1,0.031,10.5,38.3
UC,152 x 152 x 23,23,152.4,152.2,5.8,6.8,7.6,123.6,21.3,9.65,1250,400,6.54,3.7,164,52.6,182,80.1,0.842,20.6,0.021,4.63,29.2
